mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Anterior_Covered,87,iliopsoas_left,77.62,22.62,55.0
Anterior_Covered,88,iliopsoas_right,76.49,21.77,54.72
Anterior_Covered,89,brain,65.84,43.22,22.61
Anterior_Covered,90,skull,106.8,64.43,42.38
Anterior_Covered,91,rib_left_1,37.45,19.15,18.3
Anterior_Covered,92,rib_left_2,39.38,21.45,17.93
Anterior_Covered,95,rib_left_5,54.59,23.84,30.75
Anterior_Covered,96,rib_left_6,60.31,23.01,37.29
Anterior_Covered,97,rib_left_7,68.79,23.63,45.15
Anterior_Covered,98,rib_left_8,73.78,23.51,50.26
Anterior_Covered,99,rib_left_9,75.69,23.2,52.49
Anterior_Covered,100,rib_left_10,78.64,23.39,55.25
Anterior_Covered,101,rib_left_11,87.65,23.18,64.48
Anterior_Covered,102,rib_left_12,79.08,23.27,55.8
Anterior_Covered,103,rib_right_1,34.1,18.08,16.02
Anterior_Covered,104,rib_right_2,36.36,19.15,17.22
Anterior_Covered,105,rib_right_3,41.8,20.74,21.06
Anterior_Covered,106,rib_right_4,50.44,23.46,26.98
Anterior_Covered,107,rib_right_5,54.29,22.09,32.2
Anterior_Covered,108,rib_right_6,61.26,22.45,38.82
Anterior_Covered,109,rib_right_7,62.75,24.33,38.42
Anterior_Covered,110,rib_right_8,66.59,24.74,41.85
Anterior_Covered,111,rib_right_9,75.04,23.87,51.17
Anterior_Covered,112,rib_right_10,77.27,23.79,53.48
Anterior_Covered,113,rib_right_11,86.48,22.67,63.81
Anterior_Covered,114,rib_right_12,77.53,23.23,54.29
Anterior_Covered,115,sternum,47.67,17.9,29.77
Anterior_Covered,116,costal_cartilages,58.81,19.45,39.36
Posterior_Covered,0,spleen,36.53,28.04,8.49
Posterior_Covered,1,kidney_right,37.23,28.88,8.35
Posterior_Covered,2,kidney_left,35.56,27.69,7.87
Posterior_Covered,3,gallbladder,46.51,36.85,9.66
Posterior_Covered,4,liver,39.36,28.76,10.59
Posterior_Covered,5,stomach,41.89,30.5,11.38
Posterior_Covered,6,pancreas,36.26,26.77,9.49
Posterior_Covered,7,adrenal_gland_right,32.61,23.9,8.71
Posterior_Covered,8,adrenal_gland_left,32.02,24.1,7.92
Posterior_Covered,9,lung_upper_lobe_left,28.25,20.9,7.35
Posterior_Covered,10,lung_lower_lobe_left,29.99,24.12,5.87
Posterior_Covered,11,lung_upper_lobe_right,33.18,23.95,9.24
Posterior_Covered,12,lung_middle_lobe_right,34.04,23.38,10.66
Posterior_Covered,13,lung_lower_lobe_right,31.54,24.86,6.67
Posterior_Covered,14,esophagus,24.8,19.21,5.59
Posterior_Covered,15,trachea,27.99,19.58,8.41
Posterior_Covered,16,thyroid_gland,29.07,21.13,7.94
Posterior_Covered,17,small_bowel,44.34,32.47,11.87
Posterior_Covered,18,duodenum,37.18,28.35,8.83
Posterior_Covered,19,colon,44.11,34.28,9.83
Posterior_Covered,20,urinary_bladder,32.95,25.99,6.96
Posterior_Covered,25,vertebrae_S1,29.35,22.09,7.26
Posterior_Covered,26,vertebrae_L5,29.01,21.77,7.24
Posterior_Covered,27,vertebrae_L4,29.81,21.7,8.12
Posterior_Covered,28,vertebrae_L3,30.96,23.77,7.18
Posterior_Covered,29,vertebrae_L2,30.21,22.32,7.89
Posterior_Covered,30,vertebrae_L1,28.54,21.46,7.09
Posterior_Covered,31,vertebrae_T12,27.33,20.36,6.97
Posterior_Covered,32,vertebrae_T11,27.0,20.4,6.6
Posterior_Covered,33,vertebrae_T10,26.66,19.76,6.9
Posterior_Covered,34,vertebrae_T9,27.62,19.73,7.89
Posterior_Covered,35,vertebrae_T8,27.85,19.79,8.05
Posterior_Covered,36,vertebrae_T7,27.21,18.79,8.42
Posterior_Covered,37,vertebrae_T6,25.39,18.35,7.04
Posterior_Covered,38,vertebrae_T5,24.51,17.71,6.79
